Title, Link 
 Afghanistan, /places/static/images/flags/af.png 
 Aland Islands, /places/static/images/flags/ax.png 
 Albania, /places/static/images/flags/al.png 
 Algeria, /places/static/images/flags/dz.png 
 American Samoa, /places/static/images/flags/as.png 
 Andorra, /places/static/images/flags/ad.png 
 Angola, /places/static/images/flags/ao.png 
 Anguilla, /places/static/images/flags/ai.png 
 Antarctica, /places/static/images/flags/aq.png 
 Antigua and Barbuda, /places/static/images/flags/ag.png 
